TimestampS,WaitTimeUs,CPU
21.501,368078125,13
22.945,218750,2
22.623,78125,2
22.521,62500,4
24.459,31250,0
35.193,31250,0
40.709,31250,0
65.943,31250,0
81.959,31250,0
85.693,31250,0
103.428,31250,0
117.942,31250,0
134.459,31250,0
149.443,31250,0
156.459,31250,0
30.443,31250,1
33.193,31250,1
33.709,31250,1
34.209,31250,1
60.692,31250,1
74.443,31250,1
149.193,31250,1
24.693,31250,2
42.443,31250,2
47.693,31250,2
56.208,31250,2
91.959,31250,2
92.943,31250,2
101.459,31250,2
131.692,31250,2
138.958,31250,2
139.959,31250,2
147.693,31250,2
39.959,31250,3
42.693,31250,3
47.943,31250,3
56.943,31250,3
57.709,31250,3
65.209,31250,3
124.209,31250,3
126.692,31250,3
137.942,31250,3
141.959,31250,3
159.958,31250,3
167.209,31250,3
22.645,15625,0
23.148,15625,0
23.243,15625,0
23.309,15625,0
23.343,15625,0
23.359,15625,0
23.421,15625,0
23.490,15625,0
23.570,15625,0
23.602,15625,0
23.631,15625,0
23.743,15625,0
23.759,15625,0
23.793,15625,0
23.834,15625,0
23.930,15625,0
23.943,15625,0
23.959,15625,0
23.976,15625,0
23.991,15625,0
24.026,15625,0
24.146,15625,0
24.178,15625,0
24.226,15625,0
24.243,15625,0
24.259,15625,0
24.274,15625,0
24.491,15625,0
24.543,15625,0
24.559,15625,0
24.572,15625,0
24.626,15625,0
24.640,15625,0
24.659,15625,0
24.826,15625,0
24.841,15625,0
24.850,15625,0
24.918,15625,0
24.993,15625,0
25.052,15625,0
25.143,15625,0
25.168,15625,0
25.189,15625,0
25.255,15625,0
25.307,15625,0
25.443,15625,0
25.443,15625,0
25.459,15625,0
25.489,15625,0
25.508,15625,0
25.526,15625,0
25.602,15625,0
25.636,15625,0
25.657,15625,0
25.759,15625,0
25.793,15625,0
25.842,15625,0
25.858,15625,0
25.906,15625,0
25.959,15625,0
26.009,15625,0
26.026,15625,0
26.120,15625,0
26.159,15625,0
26.193,15625,0
26.309,15625,0
26.373,15625,0
26.509,15625,0
26.538,15625,0
26.552,15625,0
26.589,15625,0
26.693,15625,0
26.709,15625,0
26.805,15625,0
26.850,15625,0
26.865,15625,0
26.976,15625,0
27.024,15625,0
27.158,15625,0
27.193,15625,0
27.209,15625,0
27.326,15625,0
27.343,15625,0
27.360,15625,0
27.390,15625,0
27.459,15625,0
27.506,15625,0
27.586,15625,0
27.634,15625,0
27.662,15625,0
27.709,15625,0
27.759,15625,0
27.776,15625,0
27.788,15625,0
27.842,15625,0
27.960,15625,0
27.993,15625,0
28.009,15625,0
28.210,15625,0
28.334,15625,0
28.584,15625,0
28.615,15625,0
28.788,15625,0
28.818,15625,0
28.834,15625,0
28.850,15625,0
28.866,15625,0
29.005,15625,0
29.021,15625,0
29.068,15625,0
29.099,15625,0
29.115,15625,0
29.130,15625,0
29.146,15625,0
29.243,15625,0
29.259,15625,0
29.276,15625,0
29.310,15625,0
29.334,15625,0
29.388,15625,0
29.399,15625,0
29.426,15625,0
29.489,15625,0
29.591,15625,0
29.643,15625,0
29.666,15625,0
29.743,15625,0
29.889,15625,0
29.902,15625,0
29.959,15625,0
29.976,15625,0
30.009,15625,0
30.122,15625,0
30.255,15625,0
30.459,15625,0
30.475,15625,0
30.509,15625,0
30.526,15625,0
30.538,15625,0
30.593,15625,0
30.609,15625,0
30.643,15625,0
30.943,15625,0
30.976,15625,0
31.093,15625,0
31.106,15625,0
31.209,15625,0
31.257,15625,0
31.274,15625,0
31.506,15625,0
31.543,15625,0
31.649,15625,0
31.743,15625,0
31.759,15625,0
31.896,15625,0
31.914,15625,0
31.930,15625,0
31.943,15625,0
31.959,15625,0
31.976,15625,0
31.993,15625,0
32.058,15625,0
32.122,15625,0
32.141,15625,0
32.149,15625,0
32.224,15625,0
32.309,15625,0
32.526,15625,0
32.543,15625,0
32.567,15625,0
32.593,15625,0
32.634,15625,0
32.663,15625,0
32.884,15625,0
32.914,15625,0
32.930,15625,0
32.943,15625,0
32.993,15625,0
33.021,15625,0
33.109,15625,0
33.176,15625,0
33.393,15625,0
33.522,15625,0
33.620,15625,0
33.670,15625,0
33.685,15625,0
33.726,15625,0
33.792,15625,0
33.819,15625,0
33.871,15625,0
33.938,15625,0
33.959,15625,0
34.040,15625,0
34.271,15625,0
34.376,15625,0
34.386,15625,0
34.400,15625,0
34.459,15625,0
34.645,15625,0
34.709,15625,0
34.743,15625,0
34.810,15625,0
34.841,15625,0
34.902,15625,0
35.052,15625,0
35.126,15625,0
35.226,15625,0
35.322,15625,0
35.353,15625,0
35.507,15625,0
35.743,15625,0
35.755,15625,0
35.776,15625,0
35.899,15625,0
35.993,15625,0
36.009,15625,0
36.022,15625,0
36.149,15625,0
36.169,15625,0
36.226,15625,0
36.258,15625,0
36.288,15625,0
36.626,15625,0
36.655,15625,0
36.740,15625,0
36.818,15625,0
36.839,15625,0
36.859,15625,0
36.943,15625,0
36.993,15625,0
37.026,15625,0
37.068,15625,0
37.092,15625,0
37.109,15625,0
37.126,15625,0
37.133,15625,0
37.154,15625,0
37.194,15625,0
37.259,15625,0
37.303,15625,0
37.359,15625,0
37.555,15625,0
37.609,15625,0
37.638,15625,0
37.647,15625,0
37.680,15625,0
37.709,15625,0
37.928,15625,0
38.006,15625,0
38.108,15625,0
38.115,15625,0
38.135,15625,0
38.157,15625,0
38.286,15625,0
38.307,15625,0
38.339,15625,0
38.359,15625,0
38.368,15625,0
38.427,15625,0
38.536,15625,0
38.642,15625,0
38.659,15625,0
38.809,15625,0
38.943,15625,0
39.043,15625,0
39.089,15625,0
39.100,15625,0
39.132,15625,0
39.153,15625,0
39.309,15625,0
39.336,15625,0
39.359,15625,0
39.412,15625,0
39.475,15625,0
39.509,15625,0
39.537,15625,0
39.554,15625,0
39.621,15625,0
39.665,15625,0
39.686,15625,0
39.704,15625,0
39.709,15625,0
39.743,15625,0
39.771,15625,0
39.792,15625,0
39.809,15625,0
39.856,15625,0
39.898,15625,0
39.976,15625,0
40.059,15625,0
40.174,15625,0
40.241,15625,0
40.321,15625,0
40.575,15625,0
40.583,15625,0
40.625,15625,0
40.668,15625,0
40.689,15625,0
40.725,15625,0
40.743,15625,0
40.760,15625,0
40.854,15625,0
40.893,15625,0
41.090,15625,0
41.105,15625,0
41.126,15625,0
41.133,15625,0
41.155,15625,0
41.240,15625,0
41.259,15625,0
41.337,15625,0
41.357,15625,0
41.364,15625,0
41.386,15625,0
41.509,15625,0
41.598,15625,0
41.620,15625,0
41.641,15625,0
41.759,15625,0
41.776,15625,0
41.791,15625,0
41.834,15625,0
41.876,15625,0
41.893,15625,0
41.898,15625,0
41.943,15625,0
42.007,15625,0
42.024,15625,0
42.057,15625,0
42.087,15625,0
42.276,15625,0
42.309,15625,0
42.319,15625,0
42.365,15625,0
42.382,15625,0
42.459,15625,0
42.537,15625,0
42.609,15625,0
42.633,15625,0
42.740,15625,0
42.758,15625,0
42.823,15625,0
42.843,15625,0
42.886,15625,0
42.950,15625,0
43.026,15625,0
43.076,15625,0
43.140,15625,0
43.155,15625,0
43.226,15625,0
43.243,15625,0
43.276,15625,0
43.340,15625,0
43.352,15625,0
