Test,BitDepth,DC,RMS,Peak,SNR_dB
PatternA_learned,16,0.000000e+00,1.604553e-05,3.051758e-05,52.97
PatternA_learned,24,0.000000e+00,6.267784e-08,1.192093e-07,101.21
PatternA_learned,32,0.000000e+00,2.448353e-10,4.656613e-10,149.33
PatternB_learned,16,3.526476e-07,1.556097e-05,3.051758e-05,51.12
PatternB_learned,24,1.377530e-09,6.078505e-08,1.192093e-07,99.58
PatternB_learned,32,5.380975e-12,2.374416e-10,4.656613e-10,148.75
