Bank,Generations,BestScore,Sigma,Phase,Iteration,ElapsedSeconds,BestCoefficients
Bank_192000_32_4,17,1.022993146834644e-7,0.03,1,17,35.89866666668949,"-0.0025719178566426,-0.0165817904845748,0.0259995676236926,-0.0183756551424551,-0.0051580199671645,-0.0165812941085315,-0.0267803229047625,-0.0029729021345362,-0.0089780435815592"
Bank_192000_32_5,28,1.025558374848677e-7,0.03,1,16,30.96000000001679,"0.0025474889679741,0.0057882974300147,-0.0067664733213402,-0.0036913816749879,0.0111018726476226,-0.0083109054792015,-0.0131681961037161,-0.0084694098445235,-0.0024693618320270"
