timestamp_ms,pid,private_mb,workingset_mb,responding
40,37532,73.4,39.2,True
2065,37532,627.1,537.8,True
4075,37532,631.6,538.3,True
6084,37532,631.6,538.4,True
8105,37532,782.5,684.5,True
10114,37532,781.6,683.7,True
12123,37532,781.7,683.8,True
14133,37532,932.6,829.4,True
16141,37532,932.6,829.4,True
18151,37532,933,829.8,True
20162,37532,1083.7,975.4,True
22170,37532,1083.4,975.1,True
24177,37532,1083.4,975.1,True
26185,37532,1234.6,1120.9,True
28193,37532,1234.8,1121.1,True
30210,37532,1234.4,1120.8,True
32221,37532,1385.1,1266.3,True
34228,37532,1385.4,1266.6,True
36235,37532,1385.1,1266.3,True
38245,37532,1536.1,1412.1,True
40252,37532,1536,1412.1,True
42261,37532,1535.7,1411.8,True
44269,37532,1686.7,1557.5,True
46277,37532,1686.7,1557.5,True
48290,37532,1687,1557.8,True
50298,37532,1837.8,1703.2,True
52306,37532,1837.8,1703.2,True
54316,37532,1837.8,1703.2,True
56325,37532,1988.4,1848.6,True
58333,37532,1988.1,1848.3,True
60345,37532,1988.4,1848.6,True
62352,37532,2138.7,1993.8,True
64358,37532,2138.7,1993.8,True
66367,37532,2138.7,1993.8,True
68374,37532,2289.8,2139.6,True
70387,37532,2289.8,2139.6,True
72395,37532,2289.4,2139.3,True
74403,37532,2440.6,2285.2,True
76414,37532,2440.9,2285.5,True
78424,37532,2440.8,2285.5,True
80432,37532,2591.4,2430.6,True
82444,37532,2591.8,2430.9,True
84452,37532,2591.4,2430.6,True
86460,37532,2742.6,2576.5,True
88469,37532,2742.3,2576.2,True
90478,37532,2742.6,2576.5,True
92490,37532,2893.2,2721.9,True
94498,37532,2893.3,2722,True
96507,37532,2893,2721.6,True
98515,37532,3044,2867.5,True
100522,37532,3043.7,2867.2,True
102531,37532,3043.7,2867.2,True
104544,37532,3194.3,3012.6,True
106553,37532,3194.6,3012.9,True
108560,37532,3194.3,3012.6,True
110568,37532,3344.9,3157.9,True
112575,37532,3345.3,3158.2,True
114586,37532,3345.3,3158.2,True
116595,37532,3496.2,3303.6,True
118603,37532,3496.2,3303.6,True
120611,37532,3496.2,3303.6,True
122618,37532,3646.5,3448.8,True
124626,37532,3646.8,3449.1,True
126643,37532,3646.5,3448.8,True
128651,37532,3797.5,3594.5,True
130659,37532,3797.6,3594.5,True
132667,37532,3797.2,3594.2,True
134674,37532,3948.4,3740.2,True
136688,37532,3948.4,3740.2,True
138698,37532,3948.4,3740.2,True
140707,37532,4099,3885.6,True
142715,37532,4099,3885.6,True
144722,37532,4099,3885.6,True
146730,37532,4249.7,4030.9,True
148741,37532,4249.8,4030.9,True
150748,37532,4249.8,4030.9,True
152756,37532,4400.5,4176.3,True
154765,37532,4400.2,4176,True
156773,37532,4400.2,4176,True
158782,37532,4551.1,4321.6,True
160794,37532,4551.2,4321.6,True
162801,37532,4551.2,4321.6,True
164808,37532,4701.9,4467.1,True
166816,37532,4701.9,4467,True
168823,37532,4701.8,4467,True
170838,37532,4852.2,4612.1,True
172846,37532,4852.6,4612.5,True
174853,37532,4852.2,4612.2,True
176860,37532,5003.2,4757.9,True
178869,37532,5003.5,4758.2,True
180877,37532,5003.5,4758.2,True
182888,37532,5004.6,4759.2,True
184897,37532,5004.7,4759.2,True
186906,37532,5004.7,4759.2,True
188912,37532,5004.3,4758.9,True
190920,37532,5004.3,4758.9,True
192928,37532,4916.3,4671.1,True
