timestamp_ms,pid,private_mb,workingset_mb,responding
4056,24168,82.1,70.1,True
6084,24168,398.2,317.7,True
8107,24168,398.3,317.8,True
10117,24168,398.2,317.8,True
12125,24168,548.5,462.9,True
14133,24168,548.1,462.5,True
16142,24168,548.1,462.5,True
18152,24168,589.5,503.6,True
20169,24168,589.5,503.6,True
22177,24168,589.5,503.6,True
24187,24168,741,649.7,True
26196,24168,741,649.7,True
28210,24168,741,649.7,True
30228,24168,891,794.4,True
32238,24168,891,794.4,True
34248,24168,891,794.4,True
36259,24168,1041.7,939.8,True
38269,24168,1041.8,939.9,True
40281,24168,1041.9,939.9,True
42290,24168,1193.4,1086,True
44300,24168,1193.4,1086,True
46309,24168,1193.6,1086.2,True
48321,24168,1343.4,1230.8,True
50331,24168,1343.4,1230.8,True
52340,24168,1343.3,1230.8,True
54351,24168,1343.8,1230.9,True
56360,24168,1343.8,1230.9,True
58372,24168,1343.8,1230.9,True
60382,24168,1495.1,1376.8,True
62391,24168,1495,1376.8,True
64400,24168,1495,1376.8,True
66409,24168,1645,1521.5,True
68419,24168,1645,1521.5,True
70435,24168,1645.3,1521.8,True
72444,24168,1795.6,1666.8,True
74453,24168,1795.6,1666.8,True
76462,24168,1795.9,1667.1,True
78473,24168,1947.1,1812.9,True
80486,24168,1947.4,1813.2,True
82495,24168,1947.1,1812.9,True
84504,24168,2097,1957.7,True
86515,24168,2097.3,1957.9,True
88524,24168,2097,1957.6,True
90540,24168,2097.7,1957.6,True
92550,24168,2097.4,1957.3,True
94558,24168,2097.4,1957.3,True
96568,24168,2248.9,2103.8,True
98575,24168,2248.9,2103.8,True
100585,24168,2248.9,2103.8,True
102598,24168,2399.3,2248.7,True
104608,24168,2398.9,2248.4,True
106617,24168,2399.3,2248.8,True
108626,24168,2550.2,2394.1,True
110635,24168,2550.4,2394.4,True
112650,24168,2550,2394.1,True
114658,24168,2701.5,2540.2,True
116667,24168,2702,2540.5,True
118675,24168,2701.8,2540.5,True
120683,24168,2851.7,2685,True
122692,24168,2851.7,2685,True
124711,24168,2851.7,2685,True
126722,24168,2853.8,2688,True
128731,24168,2853.5,2687.7,True
130739,24168,2853.8,2688,True
132748,24168,3003.3,2832.3,True
134762,24168,3003.2,2832.3,True
136772,24168,3003.3,2832.3,True
138780,24168,3153.1,2976.8,True
140789,24168,3153,2976.8,True
142801,24168,3153.1,2976.8,True
144816,24168,3303.7,3122.1,True
146831,24168,3303.3,3121.8,True
148840,24168,3303.7,3122.1,True
150849,24168,3455.1,3268.2,True
152859,24168,3455.1,3268.2,True
154870,24168,3454.8,3268.1,True
156957,24168,3605,3412.9,True
158967,24168,3605,3412.9,True
160978,24168,3475.5,3287.5,True
162987,24168,3606.5,3415.3,True
164997,24168,3606.9,3415.7,True
167008,24168,3715.4,3519.1,True
169024,24168,3757,3560.5,True
171035,24168,3756.8,3560.1,True
173044,24168,3895.4,3692.4,True
175054,24168,3906.7,3704.8,True
177063,24168,3907,3705.1,True
179081,24168,4054.3,3837.8,True
181090,24168,4057.4,3850.3,True
183099,24168,4057.8,3850.6,True
185108,24168,4205.8,3977.9,True
187118,24168,4209.2,3996.6,True
189132,24168,4208.9,3996.3,True
191141,24168,4355.6,4134.9,True
193149,24168,4359.1,4141.4,True
