timestamp_ms,pid,private_mb,workingset_mb,responding
4056,12416,79.3,71.8,True
6081,12416,396.8,322.9,True
8105,12416,401.8,323.7,True
10116,12416,401.8,323.7,True
12125,12416,549.7,468.1,True
14135,12416,549.8,468.3,True
16143,12416,549.9,468.4,True
18156,12416,591.2,509.4,True
20167,12416,591.3,509.6,True
22177,12416,591.2,509.7,True
24188,12416,742.9,656.1,True
26196,12416,742.9,656.2,True
28216,12416,742.9,656.3,True
30227,12416,893.2,801,True
32237,12416,893.1,801,True
34252,12416,893.2,801,True
36261,12416,1043.8,946.5,True
38269,12416,1043.8,946.5,True
40279,12416,1043.9,946.5,True
42289,12416,1195.4,1092.7,True
44302,12416,1195.4,1092.7,True
46313,12416,1195.4,1092.7,True
48323,12416,1345.5,1237.6,True
50333,12416,1345.5,1237.6,True
52343,12416,1345.6,1237.6,True
54357,12416,1345.8,1237.5,True
56367,12416,1345.8,1237.5,True
58376,12416,1345.8,1237.5,True
60386,12416,1497.4,1383.7,True
62397,12416,1497.3,1383.7,True
64411,12416,1497.3,1383.6,True
66420,12416,1647.7,1528.5,True
68430,12416,1647.5,1528.5,True
70440,12416,1647.5,1528.5,True
72450,12416,1798.2,1673.9,True
74464,12416,1798.2,1673.9,True
76474,12416,1798.2,1673.9,True
78485,12416,1949.8,1820.2,True
80494,12416,1949.8,1820.2,True
82504,12416,1949.8,1820.2,True
84518,12416,2099.8,1965,True
86528,12416,2099.8,1965,True
88538,12416,2099.8,1965,True
90548,12416,2100.2,1965.4,True
92557,12416,2100.2,1965.4,True
94567,12416,2100.2,1965.4,True
96580,12416,2251.7,2111.7,True
98589,12416,2251.7,2111.7,True
100599,12416,2251.7,2111.7,True
102608,12416,2401.7,2256.2,True
104617,12416,2401.7,2256.2,True
106631,12416,2401.7,2256.2,True
108643,12416,2552.6,2401.7,True
110652,12416,2552.9,2402,True
112663,12416,2552.6,2401.7,True
114673,12416,2704.3,2548.1,True
116697,12416,2704.6,2548.4,True
118706,12416,2704.6,2548.4,True
120716,12416,2855,2693.4,True
122726,12416,2854.9,2693.4,True
124737,12416,2854.9,2693.4,True
126753,12416,2856.7,2696.1,True
128763,12416,2856.7,2696.1,True
130772,12416,2856.7,2696.1,True
132781,12416,3006.2,2840.2,True
134790,12416,3006.6,2840.5,True
136804,12416,3006.4,2840.2,True
138813,12416,3156,2984.8,True
140823,12416,3156.3,2985.1,True
142833,12416,3156.3,2985.1,True
144844,12416,3307,3130.5,True
146858,12416,3307,3130.4,True
148868,12416,3307,3130.5,True
150876,12416,3458.5,3276.6,True
152886,12416,3458.5,3276.6,True
154896,12416,3458.5,3276.6,True
156909,12416,3608.4,3421.3,True
158919,12416,3608.4,3421.3,True
160927,12416,3608.4,3421.3,True
162939,12416,3610.2,3423.9,True
164951,12416,3610.3,3423.9,True
166970,12416,3610.2,3423.9,True
168978,12416,3760.8,3569.1,True
170988,12416,3760.8,3569.2,True
172996,12416,3760.5,3568.9,True
175005,12416,3910.7,3713.8,True
177019,12416,3910.7,3713.8,True
179028,12416,3910.7,3713.8,True
181036,12416,4061.3,3858.8,True
183047,12416,4061.6,3859.1,True
185056,12416,4061.6,3859.1,True
187073,12416,4213.2,4005.4,True
189083,12416,4213.3,4005.4,True
191092,12416,4213.2,4005.4,True
193101,12416,4362.9,4149.8,True
195112,12416,4363.2,4150.1,True
197134,12416,4362.9,4149.7,True
199241,12416,4364.6,4152.2,True
201252,12416,4364.9,4152.5,True
203261,12416,4471,4254.5,True
