timestamp_ms,pid,private_mb,workingset_mb,responding
41,29668,75.9,41.3,True
2062,29668,518.6,433.2,True
4073,29668,518.7,433.3,True
6080,29668,518.6,433.3,True
8101,29668,673.1,578.8,True
10109,29668,672.3,578.2,True
12117,29668,672.5,578.2,True
14125,29668,823,723.8,True
16131,29668,823,723.6,True
18142,29668,822.9,723.7,True
20159,29668,974.8,870.3,True
22168,29668,974.8,870.3,True
24177,29668,974.7,870.3,True
26186,29668,1124.4,1014.8,True
28194,29668,1124.4,1014.8,True
30212,29668,1124.4,1014.8,True
32221,29668,1275.2,1160.3,True
34229,29668,1275.3,1160.3,True
36237,29668,1275.3,1160.4,True
38248,29668,1426.7,1306.6,True
40258,29668,1426.7,1306.6,True
42268,29668,1426.7,1306.6,True
44275,29668,1576.7,1451.4,True
46287,29668,1576.7,1451.4,True
48301,29668,1576.7,1451.4,True
50311,29668,1727.6,1597.1,True
52320,29668,1727.5,1597.1,True
54329,29668,1727.6,1597.1,True
56337,29668,1879.1,1743.3,True
58345,29668,1879.1,1743.3,True
60359,29668,1879.1,1743.3,True
62369,29668,2028.9,1888.1,True
64377,29668,2028.9,1888.1,True
66385,29668,2028.9,1888.1,True
68393,29668,2179.6,2033.7,True
70409,29668,2179.6,2033.7,True
72418,29668,2179.5,2033.6,True
74425,29668,2331,2179.9,True
76433,29668,2331,2179.9,True
78442,29668,2331,2179.9,True
80451,29668,2481.4,2325,True
82462,29668,2481.4,2325,True
84471,29668,2481.4,2325,True
86478,29668,2632.3,2470.6,True
88485,29668,2632.6,2470.9,True
90495,29668,2632.3,2470.6,True
92509,29668,2784.3,2617,True
94518,29668,2784,2617,True
96527,29668,2784,2617,True
98535,29668,2933.9,2761.7,True
100545,29668,2933.9,2761.7,True
102557,29668,2933.9,2761.7,True
104566,29668,3084.6,2907.2,True
106574,29668,3084.9,2907.5,True
108582,29668,3084.6,2907.2,True
110591,29668,3236.3,3053.7,True
112599,29668,3236,3053.5,True
114613,29668,3236,3053.5,True
116620,29668,3386.2,3198.4,True
118629,29668,3385.9,3198.2,True
120637,29668,3385.9,3198.1,True
122647,29668,3537,3344.1,True
124667,29668,3536.7,3343.8,True
126675,29668,3537,3344.1,True
